nb_agents,nb_infected_init,infection_rate,infection_distance,recovery_time,nb_recovered
148,5,0.5185546875,13,63,147
458,5,0.5185546875,13,63,458
148,3,0.5185546875,13,63,143
148,5,0.8994140625,13,63,143
148,5,0.5185546875,10,63,143
148,5,0.5185546875,13,23,147
148,3,0.8994140625,10,23,127
458,5,0.8994140625,10,23,458
458,3,0.5185546875,10,23,458
458,3,0.8994140625,13,23,458
458,3,0.8994140625,10,63,458
458,3,0.8994140625,10,23,458
373,30,0.0185546875,4,158,129
233,30,0.0185546875,4,158,77
373,27,0.0185546875,4,158,116
373,30,0.3994140625,4,158,137
373,30,0.0185546875,1,158,33
373,30,0.0185546875,4,118,104
373,27,0.3994140625,1,118,28
233,30,0.3994140625,1,118,31
233,27,0.0185546875,1,118,27
233,27,0.3994140625,4,118,69
233,27,0.3994140625,1,158,27
233,27,0.3994140625,1,118,32
486,17,0.7685546875,18,110,486
120,17,0.7685546875,18,110,120
486,15,0.7685546875,18,110,486
486,17,0.1494140625,18,110,486
486,17,0.7685546875,5,110,279
486,17,0.7685546875,18,165,486
486,15,0.1494140625,5,165,237
120,17,0.1494140625,5,165,29
120,15,0.7685546875,5,165,21
120,15,0.1494140625,18,165,120
120,15,0.1494140625,5,110,25
120,15,0.1494140625,5,165,27
261,42,0.2685546875,9,15,259
345,42,0.2685546875,9,15,344
261,39,0.2685546875,9,15,259
261,42,0.6494140625,9,15,259
261,42,0.2685546875,15,15,261
261,42,0.2685546875,9,70,256
261,39,0.6494140625,15,70,261
345,42,0.6494140625,15,70,345
345,39,0.2685546875,15,70,345
345,39,0.6494140625,9,70,344
345,39,0.6494140625,15,15,345
345,39,0.6494140625,15,70,345
205,24,0.1435546875,6,39,75
402,24,0.1435546875,6,39,357
205,21,0.1435546875,6,39,105
205,24,0.0244140625,6,39,91
205,24,0.1435546875,8,39,174
205,24,0.1435546875,6,141,116
205,21,0.0244140625,8,141,152
402,24,0.0244140625,8,141,402
402,21,0.1435546875,8,141,401
402,21,0.0244140625,6,141,341
402,21,0.0244140625,8,39,386
402,21,0.0244140625,8,141,400
430,48,0.6435546875,16,134,430
177,48,0.6435546875,16,134,177
430,46,0.6435546875,16,134,430
430,48,0.5244140625,16,134,430
430,48,0.6435546875,17,134,430
430,48,0.6435546875,16,46,430
430,46,0.5244140625,17,46,430
177,48,0.5244140625,17,46,177
177,46,0.6435546875,17,46,177
177,46,0.5244140625,16,46,177
177,46,0.5244140625,17,134,177
177,46,0.5244140625,17,46,177
317,11,0.3935546875,1,182,11
64,11,0.3935546875,1,182,11
317,9,0.3935546875,1,182,10
317,11,0.7744140625,1,182,14
317,11,0.3935546875,12,182,317
317,11,0.3935546875,1,94,12
317,9,0.7744140625,12,94,317
64,11,0.7744140625,12,94,54
64,9,0.3935546875,12,94,46
64,9,0.7744140625,1,94,10
64,9,0.7744140625,12,182,31
64,9,0.7744140625,12,94,43
92,36,0.8935546875,11,87,82
289,36,0.8935546875,11,87,289
92,33,0.8935546875,11,87,88
92,36,0.2744140625,11,87,88
92,36,0.8935546875,3,87,48
92,36,0.8935546875,11,189,82
92,33,0.2744140625,3,189,44
289,36,0.2744140625,3,189,61
289,33,0.8935546875,3,189,55
289,33,0.2744140625,11,189,289
289,33,0.2744140625,3,87,57
289,33,0.2744140625,3,189,57
78,10,0.0498046875,9,128,45
162,10,0.0498046875,9,128,126
78,47,0.0498046875,9,128,69
78,10,0.8056640625,9,128,22
78,10,0.0498046875,1,128,10
78,10,0.0498046875,9,88,52
78,47,0.8056640625,1,88,47
162,10,0.8056640625,1,88,10
162,47,0.0498046875,1,88,50
162,47,0.8056640625,9,88,144
162,47,0.8056640625,1,128,47
162,47,0.8056640625,1,88,49
303,34,0.5498046875,19,33,303
387,34,0.5498046875,19,33,387
303,23,0.5498046875,19,33,303
303,34,0.3056640625,19,33,303
303,34,0.5498046875,11,33,303
303,34,0.5498046875,19,183,303
303,23,0.3056640625,11,183,301
387,34,0.3056640625,11,183,387
387,23,0.5498046875,11,183,387
387,23,0.3056640625,19,183,387
387,23,0.3056640625,11,33,387
387,23,0.3056640625,11,183,387
416,22,0.2998046875,4,81,107
275,22,0.2998046875,4,81,69
416,35,0.2998046875,4,81,205
416,22,0.0556640625,4,81,120
416,22,0.2998046875,15,81,416
416,22,0.2998046875,4,135,94
416,35,0.0556640625,15,135,416
275,22,0.0556640625,15,135,275
275,35,0.2998046875,15,135,275
275,35,0.0556640625,4,135,94
275,35,0.0556640625,15,81,275
275,35,0.0556640625,15,135,275
191,47,0.7998046875,14,176,191
50,47,0.7998046875,14,176,50
191,10,0.7998046875,14,176,191
191,47,0.5556640625,14,176,191
191,47,0.7998046875,6,176,136
191,47,0.7998046875,14,40,191
191,10,0.5556640625,6,40,48
50,47,0.5556640625,6,40,47
50,10,0.7998046875,6,40,14
50,10,0.5556640625,14,40,44
50,10,0.5556640625,6,176,19
50,10,0.5556640625,6,40,16
247,16,0.6748046875,12,199,247
219,16,0.6748046875,12,199,218
247,29,0.6748046875,12,199,247
247,16,0.1806640625,12,199,247
247,16,0.6748046875,18,199,247
247,16,0.6748046875,12,159,247
247,29,0.1806640625,18,159,247
219,16,0.1806640625,18,159,219
219,29,0.6748046875,18,159,219
219,29,0.1806640625,12,159,219
219,29,0.1806640625,18,199,219
219,29,0.1806640625,18,159,219
472,40,0.1748046875,2,104,72
444,40,0.1748046875,2,104,64
472,4,0.1748046875,2,104,6
472,40,0.6806640625,2,104,74
472,40,0.1748046875,8,104,471
472,40,0.1748046875,2,64,72
472,4,0.6806640625,8,64,472
444,40,0.6806640625,8,64,444
444,4,0.1748046875,8,64,444
444,4,0.6806640625,2,64,4
444,4,0.6806640625,8,104,429
444,4,0.6806640625,8,64,444
359,4,0.9248046875,16,57,359
331,4,0.9248046875,16,57,331
359,41,0.9248046875,16,57,359
359,4,0.9306640625,16,57,359
359,4,0.9248046875,3,57,11
359,4,0.9248046875,16,17,359
359,41,0.9306640625,3,17,103
331,4,0.9306640625,3,17,9
331,41,0.9248046875,3,17,89
331,41,0.9306640625,16,17,331
331,41,0.9306640625,3,57,86
331,41,0.9306640625,3,17,82
134,28,0.4248046875,7,152,69
106,28,0.4248046875,7,152,57
134,17,0.4248046875,7,152,69
134,28,0.4306640625,7,152,101
134,28,0.4248046875,13,152,134
134,28,0.4248046875,7,112,92
134,17,0.4306640625,13,112,129
106,28,0.4306640625,13,112,105
106,17,0.4248046875,13,112,106
106,17,0.4306640625,7,112,44
106,17,0.4306640625,13,152,106
106,17,0.4306640625,13,112,105
106,19,0.9873046875,1,21,19
78,19,0.9873046875,1,21,19
106,26,0.9873046875,1,21,27
106,19,0.2431640625,1,21,19
106,19,0.9873046875,19,21,106
106,19,0.9873046875,1,52,19
106,26,0.2431640625,19,52,104
78,19,0.2431640625,19,52,78
78,26,0.9873046875,19,52,78
78,26,0.2431640625,1,52,26
78,26,0.2431640625,19,21,78
78,26,0.2431640625,19,52,78
331,44,0.4873046875,10,116,331
303,44,0.4873046875,10,116,303
331,1,0.4873046875,10,116,329
331,44,0.7431640625,10,116,331
331,44,0.4873046875,9,116,327
331,44,0.4873046875,10,147,331
331,1,0.7431640625,9,147,328
303,44,0.7431640625,9,147,303
303,1,0.4873046875,9,147,298
303,1,0.7431640625,10,147,302
303,1,0.7431640625,9,116,291
303,1,0.7431640625,9,147,303
444,7,0.7373046875,6,164,367
416,7,0.7373046875,6,164,295
444,38,0.7373046875,6,164,400
444,7,0.9931640625,6,164,398
444,7,0.7373046875,5,164,68
444,7,0.7373046875,6,195,365
444,38,0.9931640625,5,195,329
416,7,0.9931640625,5,195,157
416,38,0.7373046875,5,195,294
416,38,0.9931640625,6,195,358
416,38,0.9931640625,5,164,315
416,38,0.9931640625,5,195,297
219,31,0.2373046875,15,69,219
191,31,0.2373046875,15,69,191
219,13,0.2373046875,15,69,219
219,31,0.4931640625,15,69,219
219,31,0.2373046875,14,69,219
219,31,0.2373046875,15,100,219
219,13,0.4931640625,14,100,219
191,31,0.4931640625,14,100,191
191,13,0.2373046875,14,100,191
191,13,0.4931640625,15,100,191
191,13,0.4931640625,14,69,190
191,13,0.4931640625,14,100,191